id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
d1972fbb-8679-4100-a665-eb4d19124bed,Alexej Ivanko,"Ivanko, Alexej",alexej_ivanko@nrsr.sk,,,Klub SDKÚ-DS,15,,,National Council,3,2002-10-15,2003-12-08,http://files.parldata.eu/sk/nrsr/people/54d2a4d3273a394ad5db984c/image.jpeg,male
d1972fbb-8679-4100-a665-eb4d19124bed,Alexej Ivanko,"Ivanko, Alexej",alexej_ivanko@nrsr.sk,,,Independent,0,,,National Council,3,2003-12-09,,http://files.parldata.eu/sk/nrsr/people/54d2a4d3273a394ad5db984c/image.jpeg,male
3b51fcad-9b72-4c0b-b3b8-32036e468688,Alojz Přidal,"Přidal, Alojz",alojz_pridal@nrsr.sk,,,Klub KDH,14,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a5c2273a394ad5dba0de/image.jpeg,male
7886f458-3ac9-454d-84dd-f1d35c548a2a,Andrej Hajduk,"Hajduk, Andrej",andrej_hajduk@nrsr.sk,,,Klub KDH,14,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a584273a394ad5dba064/image.jpeg,male
bc531bca-5bf0-4c07-8ce9-e7d8dd9f04ed,Anna Záborská,"Záborská, Anna",anna_zaborska@nrsr.sk,,,Klub KDH,14,,,National Council,3,2002-10-15,2004-07-20,http://files.parldata.eu/sk/nrsr/people/54d2a521273a394ad5db98e4/image.jpeg,female
49a8b545-b4a5-4544-a9e8-992364461be1,Anton Blajsko,"Blajsko, Anton",anton_blajsko@nrsr.sk,,,Klub ĽS-HZDS,12,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a56e273a394ad5dba042/image.jpeg,male
ddfad974-969f-4050-85a1-c7e1497db941,Anton Danko,"Danko, Anton",anton_danko@nrsr.sk,,,Klub ANO,18,,,National Council,3,2002-10-15,2003-05-26,http://files.parldata.eu/sk/nrsr/people/54d2a5e2273a394ad5dba10e/image.jpeg,male
ddfad974-969f-4050-85a1-c7e1497db941,Anton Danko,"Danko, Anton",anton_danko@nrsr.sk,,,Klub nezávislých poslancov NR SR,21,,,National Council,3,2003-05-26,2003-06-17,http://files.parldata.eu/sk/nrsr/people/54d2a5e2273a394ad5dba10e/image.jpeg,male
ddfad974-969f-4050-85a1-c7e1497db941,Anton Danko,"Danko, Anton",anton_danko@nrsr.sk,,,Independent,0,,,National Council,3,2003-06-18,2005-08-28,http://files.parldata.eu/sk/nrsr/people/54d2a5e2273a394ad5dba10e/image.jpeg,male
ddfad974-969f-4050-85a1-c7e1497db941,Anton Danko,"Danko, Anton",anton_danko@nrsr.sk,,,Klub ANO,18,,,National Council,3,2005-08-29,,http://files.parldata.eu/sk/nrsr/people/54d2a5e2273a394ad5dba10e/image.jpeg,male
5797ba83-7b1f-4837-adfd-816a190ab7f3,Beáta Brestenská,"Brestenská, Beáta",beata_brestenska@nrsr.sk,,,Klub ANO,18,,,National Council,3,2002-10-15,2005-09-11,http://files.parldata.eu/sk/nrsr/people/54d2a570273a394ad5dba04a/image.jpeg,female
5797ba83-7b1f-4837-adfd-816a190ab7f3,Beáta Brestenská,"Brestenská, Beáta",beata_brestenska@nrsr.sk,,,Independent,0,,,National Council,3,2005-09-12,,http://files.parldata.eu/sk/nrsr/people/54d2a570273a394ad5dba04a/image.jpeg,female
7f40c0e2-c1ee-4548-90f5-368f8847f862,Bohumil Hanzel,"Hanzel, Bohumil",bohumil_hanzel@nrsr.sk,,,Klub SMER-SD,16,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a586273a394ad5dba06a/image.jpeg,male
4d05bc23-e951-41ad-8341-11d4bddecddd,Boris Zala,"Zala, Boris",boris_zala@nrsr.sk,,,Klub SMER-SD,16,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a489273a394ad5db959c/image.jpeg,male
e5c78bd0-809e-4434-af84-0f2df8d5d738,Branislav Opaterný,"Opaterný, Branislav",branislav_opaterny@nrsr.sk,,,Klub ANO,18,,,National Council,3,2002-10-15,2002-10-23,http://files.parldata.eu/sk/nrsr/people/54d2a5ba273a394ad5dba0d2/image.jpeg,male
e5c78bd0-809e-4434-af84-0f2df8d5d738,Branislav Opaterný,"Opaterný, Branislav",branislav_opaterny@nrsr.sk,,,Independent,0,,,National Council,3,2003-10-01,,http://files.parldata.eu/sk/nrsr/people/54d2a5ba273a394ad5dba0d2/image.jpeg,male
b9d72b08-8293-4fae-a7d6-127ba7cb460f,Béla Bugár,"Bugár, Béla",bela_bugar@nrsr.sk,,,Klub SMK-MKP,17,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a438273a394ad5db9295/image.2.jpeg,male
00e0809d-a5e0-4371-8472-c3833a17a9d8,Dagmar Bollová,"Bollová, Dagmar",dagmar_bollova@nrsr.sk,,,Klub KSS,13,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a570273a394ad5dba048/image.jpeg,female
0e69c6ab-a01e-406c-be6e-c302560a472f,Dana Podracká,"Podracká, Dana",dana_podracka@nrsr.sk,,,Klub ĽS-HZDS,12,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a5bf273a394ad5dba0dc/image.jpeg,female
b95f789d-a6a8-4721-a834-f9e624cc1494,Daniel Lipšic,"Lipšic, Daniel",daniel_lipsic@nrsr.sk,,,Klub KDH,14,,,National Council,3,2002-10-15,2002-10-16,http://files.parldata.eu/sk/nrsr/people/54d2a5a4273a394ad5dba0a4/image.jpeg,male
b95f789d-a6a8-4721-a834-f9e624cc1494,Daniel Lipšic,"Lipšic, Daniel",daniel_lipsic@nrsr.sk,,,Klub KDH,14,,,National Council,3,2006-02-08,,http://files.parldata.eu/sk/nrsr/people/54d2a5a4273a394ad5dba0a4/image.jpeg,male
e0bb18fc-046e-47e6-b6b1-c61cadc23300,Darina Gabániová,"Gabániová, Darina",darina_gabaniova@nrsr.sk,,,Klub SMER-SD,16,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a580273a394ad5dba060/image.jpeg,female
15ef9854-092d-4bb0-b09b-8ef92822c0e0,Diana Štrofová,"Štrofová, Diana",diana_strofova@nrsr.sk,,,Klub ĽS-HZDS,12,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a516273a394ad5db98d0/image.jpeg,female
f8be36f6-3547-4bd7-a334-fe8c4081189a,Dušan Jarjabek,"Jarjabek, Dušan",dusan_jarjabek@nrsr.sk,,,Klub ĽS-HZDS,12,,,National Council,3,2002-10-15,2005-04-18,http://files.parldata.eu/sk/nrsr/people/54d2a4d3273a394ad5db984e/image.2.jpeg,male
f8be36f6-3547-4bd7-a334-fe8c4081189a,Dušan Jarjabek,"Jarjabek, Dušan",dusan_jarjabek@nrsr.sk,,,Independent,0,,,National Council,3,2005-04-19,2005-05-15,http://files.parldata.eu/sk/nrsr/people/54d2a4d3273a394ad5db984e/image.2.jpeg,male
f8be36f6-3547-4bd7-a334-fe8c4081189a,Dušan Jarjabek,"Jarjabek, Dušan",dusan_jarjabek@nrsr.sk,,,Klub SMER-SD,16,,,National Council,3,2005-05-16,,http://files.parldata.eu/sk/nrsr/people/54d2a4d3273a394ad5db984e/image.2.jpeg,male
6d75d070-b56c-4612-af0f-901024d242fc,Dušan Muňko,"Muňko, Dušan",dusan_munko@nrsr.sk,,,Klub SMER-SD,16,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a5b3273a394ad5dba0c4/image.2.jpeg,male
19e7f0b6-19a4-4fb3-92fe-f201fdad9f7d,Dušan Čaplovič,"Čaplovič, Dušan",dusan_caplovic@nrsr.sk,,,Klub SMER-SD,16,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a577273a394ad5dba050/image.2.jpeg,male
39f624c3-b600-4345-837c-c1dd23a4dd6a,Edit Bauer,"Bauer, Edit",edit_bauer@nrsr.sk,,,Klub SMK-MKP,17,,,National Council,3,2002-10-15,2004-07-20,http://files.parldata.eu/sk/nrsr/people/54d2a432273a394ad5db925e/image.jpeg,female
5e35270d-f177-46df-b931-a73b9e6f804b,Edita Angyalová,"Angyalová, Edita","edita_angyalova@nrsr.sk,",,,Klub SMER-SD,16,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a563273a394ad5dba02c/image.jpeg,female
1123f4c6-1b9e-46ce-ada6-c41191159740,Eduard Kolesár,"Kolesár, Eduard",eduard_kolesar@nrsr.sk,,,Klub ĽS-HZDS,12,,,National Council,3,2002-10-15,2005-09-19,http://files.parldata.eu/sk/nrsr/people/54d2a599273a394ad5dba090/image.jpeg,male
1123f4c6-1b9e-46ce-ada6-c41191159740,Eduard Kolesár,"Kolesár, Eduard",eduard_kolesar@nrsr.sk,,,Independent,0,,,National Council,3,2005-09-20,,http://files.parldata.eu/sk/nrsr/people/54d2a599273a394ad5dba090/image.jpeg,male
1ce23aa0-61f3-41e8-b5fa-bf8d122d2629,Eduard Kukan,"Kukan, Eduard",eduard_kukan@nrsr.sk,,,Independent,0,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a45e273a394ad5db9402/image.jpeg,male
25d55d4a-92db-4760-9c68-b449b47b3c24,Erzsébet Dolník,"Dolník, Erzsébet",erzsebet_dolnik@nrsr.sk,,,Klub SMK-MKP,17,,,National Council,3,2002-10-15,2004-08-24,http://files.parldata.eu/sk/nrsr/people/54d2a4b5273a394ad5db9816/image.jpeg,female
25d55d4a-92db-4760-9c68-b449b47b3c24,Erzsébet Dolník,"Dolník, Erzsébet",erzsebet_dolnik@nrsr.sk,,,Klub SMK-MKP,17,,,National Council,3,2004-08-24,,http://files.parldata.eu/sk/nrsr/people/54d2a4b5273a394ad5db9816/image.jpeg,female
a3d6b663-4dd5-418a-b20d-314d99fd14bd,Eva Antošová,"Antošová, Eva",eva_antosova@nrsr.sk,,,Klub ĽS-HZDS,12,,,National Council,3,2002-10-15,2005-06-16,http://files.parldata.eu/sk/nrsr/people/54d2a564273a394ad5dba02e/image.2.jpeg,female
a3d6b663-4dd5-418a-b20d-314d99fd14bd,Eva Antošová,"Antošová, Eva",eva_antosova@nrsr.sk,,,Independent,0,,,National Council,3,2005-06-17,,http://files.parldata.eu/sk/nrsr/people/54d2a564273a394ad5dba02e/image.2.jpeg,female
b8b2f678-6f8c-4806-b554-dce4dfc46125,Eva Rusnáková,"Rusnáková, Eva",eva_rusnakova@nrsr.sk,,,Klub SDKÚ-DS,15,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a478273a394ad5db94fb/image.jpeg,female
e931ad2d-3fc6-45c1-adbb-35c72c9acddc,Eva Černá,"Černá, Eva",eva_cerna@nrsr.sk,,,Klub ANO,18,,,National Council,3,2002-10-15,2005-09-11,http://files.parldata.eu/sk/nrsr/people/54d2a578273a394ad5dba052/image.jpeg,female
e931ad2d-3fc6-45c1-adbb-35c72c9acddc,Eva Černá,"Černá, Eva",eva_cerna@nrsr.sk,,,Independent,0,,,National Council,3,2005-09-12,,http://files.parldata.eu/sk/nrsr/people/54d2a578273a394ad5dba052/image.jpeg,female
e18aef92-4699-4bce-a5fc-0504cda88063,Ferdinand Devínsky,"Devínsky, Ferdinand",ferdinand_devinsky@nrsr.sk,,,Klub SDKÚ-DS,15,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a5e1273a394ad5dba10a/image.jpeg,male
4e1ac75c-6b97-41bc-ab31-533485348e5a,František Mikloško,"Mikloško, František",frantisek_miklosko@nrsr.sk,,,Klub KDH,14,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a467273a394ad5db945c/image.jpeg,male
60b748e1-9d4b-43b9-8d44-6f84c49d6cf3,František Tóth,"Tóth, František",,,,Klub ANO,18,,,National Council,3,2002-10-15,2002-10-23,http://files.parldata.eu/sk/nrsr/people/54d2a51b273a394ad5db98da/image.jpeg,male
60b748e1-9d4b-43b9-8d44-6f84c49d6cf3,František Tóth,"Tóth, František",,,,Klub ANO,18,,,National Council,3,2005-01-27,2005-03-02,http://files.parldata.eu/sk/nrsr/people/54d2a51b273a394ad5db98da/image.jpeg,male
60b748e1-9d4b-43b9-8d44-6f84c49d6cf3,František Tóth,"Tóth, František",,,,Klub ANO,18,,,National Council,3,2005-06-09,2005-06-15,http://files.parldata.eu/sk/nrsr/people/54d2a51b273a394ad5db98da/image.jpeg,male
60b748e1-9d4b-43b9-8d44-6f84c49d6cf3,František Tóth,"Tóth, František",,,,Independent,0,,,National Council,3,2006-04-05,2006-04-20,http://files.parldata.eu/sk/nrsr/people/54d2a51b273a394ad5db98da/image.jpeg,male
60b748e1-9d4b-43b9-8d44-6f84c49d6cf3,František Tóth,"Tóth, František",,,,Klub ANO,18,,,National Council,3,2006-04-21,2006-06-13,http://files.parldata.eu/sk/nrsr/people/54d2a51b273a394ad5db98da/image.jpeg,male
99066bd6-7ebc-4fbe-9f94-8388441ce11f,Gabriel Karlin,"Karlin, Gabriel",gabriel_karlin@nrsr.sk,,,Klub ĽS-HZDS,12,,,National Council,3,2002-10-15,2003-11-25,http://files.parldata.eu/sk/nrsr/people/54d2a4d9273a394ad5db985a/image.jpeg,male
99066bd6-7ebc-4fbe-9f94-8388441ce11f,Gabriel Karlin,"Karlin, Gabriel",gabriel_karlin@nrsr.sk,,,Klub ĽS-HZDS,12,,,National Council,3,2004-03-05,,http://files.parldata.eu/sk/nrsr/people/54d2a4d9273a394ad5db985a/image.jpeg,male
09ebae0e-1138-45f5-9557-80292be6d872,Gustáv Krajči,"Krajči, Gustáv",gustav_krajci@nrsr.sk,,,Klub ĽS-HZDS,12,,,National Council,3,2002-10-15,2003-02-07,http://files.parldata.eu/sk/nrsr/people/54d2a4e0273a394ad5db9862/image.jpeg,male
09ebae0e-1138-45f5-9557-80292be6d872,Gustáv Krajči,"Krajči, Gustáv",gustav_krajci@nrsr.sk,,,Independent,0,,,National Council,3,2003-02-08,2003-02-24,http://files.parldata.eu/sk/nrsr/people/54d2a4e0273a394ad5db9862/image.jpeg,male
09ebae0e-1138-45f5-9557-80292be6d872,Gustáv Krajči,"Krajči, Gustáv",gustav_krajci@nrsr.sk,,,Klub nezávislých poslancov NR SR,21,,,National Council,3,2003-02-25,2004-06-25,http://files.parldata.eu/sk/nrsr/people/54d2a4e0273a394ad5db9862/image.jpeg,male
09ebae0e-1138-45f5-9557-80292be6d872,Gustáv Krajči,"Krajči, Gustáv",gustav_krajci@nrsr.sk,,,Independent,0,,,National Council,3,2004-06-26,,http://files.parldata.eu/sk/nrsr/people/54d2a4e0273a394ad5db9862/image.jpeg,male
3586797e-f53a-4f42-bfba-2c88b8e62f05,Gyula Bárdos,"Bárdos, Gyula",gyula_bardos@nrsr.sk,,,Klub SMK-MKP,17,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a431273a394ad5db924e/image.jpeg,male
e42b21df-42d5-4768-a5f2-8265bb443475,György Juhász,"Juhász, György",gyorgy_juhasz@nrsr.sk,,,Klub SMK-MKP,17,,,National Council,3,2004-08-24,,http://files.parldata.eu/sk/nrsr/people/54d2a594273a394ad5dba084/image.jpeg,male
884a633a-ae6d-426d-9185-336a821eccd5,Gábor Gál,"Gál, Gábor",gabor_gal@nrsr.sk,,,Klub SMK-MKP,17,,,National Council,3,2002-10-15,,http://files.parldata.eu/sk/nrsr/people/54d2a581273a394ad5dba062/image.2.jpeg,male
4ea3baa0-fe32-4655-95a6-601abd110a35,Herman Arvay,"Arvay, Herman",herman_arvay@nrsr.sk,,,Klub KSS,13,,,National Council,3,2002-10-15,2003-12-01,http://files.parldata.eu/sk/nrsr/people/54d2a565273a394ad5dba030/image.jpeg,male
4ea3baa0-fe32-4655-95a6-601abd110a35,Herman Arvay,"Arvay, Herman",herman_arvay@nrsr.sk,,,Independent,0,,,National Council,3,2003-12-02,2005-09-19,http://files.parldata.eu/sk/nrsr/people/54d2a565273a394ad5dba030/image.jpeg,male
4ea3baa0-fe32-4655-95a6-601abd110a35,Herman Arvay,"Arvay, Herman",herman_arvay@nrsr.sk,,,Klub ANO,18,,,National Council,3,2005-09-20,,http://files.parldata.eu/sk/nrsr/people/54d2a565273a394ad5dba030/image.jpeg,male
